Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-10-07,Education,Online,View artist bar.,3539,0.0
2024-10-19,Education,Online,Station moment might question.,3062,0.0
2024-10-21,Miscellaneous,Online,Democrat report quite color grow.,2226,0.0
2024-10-01,Travel,Cash,Three statement of arrive artist.,6958,555.51
2024-10-09,Healthcare,Cash,Stay future rest.,2542,0.0
2024-10-20,Travel,Cash,Mrs hold race.,13688,262.59
2024-10-10,Transportation,Online,Fine move.,1038,0.0
2024-10-28,Miscellaneous,Cash,Million improve north.,2957,0.0
2024-10-14,Travel,Cash,Tree star future north.,7404,144.3
2024-10-11,Groceries,Cash,More teach represent style.,950,28.17
2024-10-14,Groceries,Cash,Husband nature suggest reason computer.,1855,158.08
2024-10-12,Subscriptions,Cash,Bit performance third.,409,0.0
2024-10-24,Entertainment,Online,Relationship course since magazine.,1315,21.63
2024-10-07,Travel,Cash,Later sing.,8922,807.76
2024-10-20,Food,Online,Continue sing media occur develop.,161,15.67
2024-10-25,Education,Online,Market television physical may learn.,4003,0.0
2024-10-22,Groceries,Cash,Discuss region defense west.,1453,41.21
2024-10-19,Travel,Online,Friend billion fire.,14388,969.01
2024-10-07,Travel,Online,Place listen whole fact.,1670,130.53
2024-10-15,Subscriptions,Cash,Huge room cold.,835,0.0
2024-10-19,Travel,Cash,Couple guess back.,1019,42.29
2024-10-12,Miscellaneous,Cash,Century sea scientist near.,1303,0.0
2024-10-29,Entertainment,Online,City manager resource.,441,36.16
2024-10-22,Miscellaneous,Online,Throughout material.,1180,0.0
2024-10-13,Healthcare,Online,Financial return detail.,4120,0.0
2024-10-30,Shopping,Online,Natural wait play media receive.,2578,66.31
2024-10-09,Miscellaneous,Online,Economic song morning approach ready.,2861,0.0
2024-10-10,Food,Cash,War age tell raise yet.,491,13.74
2024-10-23,Groceries,Online,Specific side third.,1945,120.78
2024-10-01,Subscriptions,Online,Never learn guess.,257,0.0
2024-10-07,Healthcare,Online,Drop rate develop yet.,1041,0.0
2024-10-06,Education,Online,List fast education form.,9483,0.0
2024-10-18,Gifts,Cash,Main same economy wonder.,1145,0.0
2024-10-14,Groceries,Cash,Never agency.,1650,126.83
2024-10-27,Bills,Cash,Key unit debate recent.,2892,253.69
2024-10-20,Transportation,Online,Girl defense color per before.,470,0.0
2024-10-18,Healthcare,Cash,Process something amount arrive.,3508,0.0
2024-10-17,Groceries,Online,Mind its especially when.,1538,41.47
2024-10-12,Bills,Cash,Machine should really guy difference.,1158,88.12
2024-10-06,Travel,Cash,Hear return morning.,1718,24.57
2024-10-28,Transportation,Cash,Its focus.,537,0.0
2024-10-23,Transportation,Online,Condition ask learn democratic son.,511,0.0
2024-10-27,Shopping,Cash,Air carry action.,2332,165.27
2024-10-19,Shopping,Online,School attention trial paper movement.,2530,231.98
2024-10-05,Food,Online,Color hundred mission attorney.,527,15.22
2024-10-07,Gifts,Online,Lose majority method now.,285,0.0
2024-10-07,Shopping,Online,Head look.,1527,38.54
2024-10-05,Gifts,Online,Cup security real something.,2401,0.0
2024-10-14,Transportation,Online,Hope question.,317,0.0
2024-10-24,Gifts,Online,Young green.,3030,0.0
2024-10-29,Gifts,Online,Throw maybe friend.,913,0.0
2024-10-23,Shopping,Online,Political turn season no.,801,22.51
2024-10-16,Food,Cash,Law lot detail.,121,5.87
2024-10-21,Food,Cash,Should ball thank million.,571,55.3
2024-10-24,Transportation,Cash,Under computer tonight particular company.,537,0.0
2024-10-27,Gifts,Cash,Truth join against.,256,0.0
2024-10-07,Miscellaneous,Online,Experience read.,291,0.0
2024-10-09,Healthcare,Online,Exactly walk large.,3695,0.0
2024-10-19,Entertainment,Online,During thank.,1607,25.99
2024-10-03,Gifts,Cash,Man public stay model still.,2552,0.0
2024-10-26,Food,Online,Especially since back new.,529,38.93
2024-10-29,Miscellaneous,Online,Difference specific.,1480,0.0
2024-10-28,Food,Cash,Top ever material treat their.,366,35.06
2024-10-03,Subscriptions,Online,List lot say.,548,0.0
2024-10-26,Bills,Cash,Seem something seat.,2373,159.67
2024-10-21,Entertainment,Online,Conference personal.,884,13.8
2024-10-08,Healthcare,Online,Card each suggest.,2140,0.0
2024-10-16,Entertainment,Cash,Term word.,2162,92.46
2024-10-01,Shopping,Cash,Detail relationship development gun.,1609,141.42
2024-10-21,Gifts,Online,Out summer reduce policy.,4293,0.0
2024-10-08,Bills,Online,Back product.,3081,169.26
2024-10-27,Transportation,Cash,Environment huge painting save.,195,0.0
2024-10-11,Food,Online,Part detail kid.,244,12.5
2024-10-27,Miscellaneous,Cash,Bad sit.,1003,0.0
2024-10-21,Food,Online,Responsibility themselves.,204,2.2
2024-10-07,Miscellaneous,Online,Fly investment on.,437,0.0
2024-10-06,Entertainment,Online,Form recently meet.,2438,140.8
2024-10-12,Subscriptions,Cash,Film together.,128,0.0
2024-10-30,Healthcare,Online,Seek feeling assume laugh.,4124,0.0
2024-10-09,Entertainment,Online,Probably others sport.,467,20.1
2024-10-08,Shopping,Cash,Race risk represent.,922,63.92
2024-10-10,Subscriptions,Cash,Economic much.,925,0.0
2024-10-01,Groceries,Cash,Speech sea rich along huge.,523,49.76
2024-10-18,Education,Cash,Deal exist about.,5978,0.0
2024-10-04,Shopping,Online,Accept down get war.,1598,41.25
2024-10-14,Entertainment,Cash,Seek prove final necessary.,1154,93.12
2024-10-21,Entertainment,Online,Behavior and available.,1958,62.02
2024-10-25,Shopping,Cash,Pass mention partner.,775,61.06
2024-10-10,Gifts,Online,These section behavior however.,826,0.0
2024-10-17,Healthcare,Online,News seven civil including.,4703,0.0
2024-10-06,Education,Cash,Attack production.,5414,0.0
2024-10-29,Education,Online,Control head weight produce go.,9212,0.0
2024-10-03,Subscriptions,Online,Which somebody anything newspaper Democrat.,654,0.0
2024-10-04,Gifts,Cash,Piece station.,779,0.0
2024-10-12,Bills,Online,Eight win particularly offer.,4892,166.06
2024-10-27,Subscriptions,Online,Us again thank standard travel.,284,0.0
2024-10-07,Bills,Cash,Eye finish either book.,2033,38.86
2024-10-01,Healthcare,Online,Tell rather.,3158,0.0
2024-10-20,Shopping,Cash,Health result strategy base money.,2189,176.48
2024-10-01,Travel,Online,Fine decide impact none.,14201,641.84
2024-10-22,Miscellaneous,Online,Among rise Republican.,482,0.0
2024-10-26,Healthcare,Cash,Specific follow big machine almost.,4614,0.0
2024-10-30,Gifts,Cash,Sound ahead.,4779,0.0
2024-10-15,Groceries,Online,Suddenly defense.,419,30.41
2024-10-25,Bills,Cash,Environmental cold international degree.,1716,50.72
2024-10-07,Food,Cash,Tell we another everybody.,210,3.15
2024-10-05,Gifts,Cash,Fall about develop.,922,0.0
2024-10-10,Travel,Online,Different style over.,9010,584.57
2024-10-13,Subscriptions,Online,Operation yeah data.,991,0.0
2024-10-10,Subscriptions,Online,Owner player.,140,0.0
2024-10-09,Transportation,Cash,Personal night.,306,0.0
2024-10-15,Bills,Cash,Care six like direction author.,2914,260.1
2024-10-03,Entertainment,Online,Out nature human.,2295,39.08
2024-10-26,Miscellaneous,Online,International sure.,1194,0.0
2024-10-30,Subscriptions,Online,Stop audience myself.,743,0.0
2024-10-14,Bills,Online,Type evening reveal his sound.,3659,175.68
2024-10-07,Subscriptions,Cash,Term difference.,285,0.0
2024-10-14,Shopping,Cash,Exactly example three yard against.,3403,60.17
2024-10-07,Travel,Cash,Realize defense discuss.,13296,1196.78
2024-10-23,Gifts,Cash,Him baby quality.,4205,0.0
2024-10-01,Shopping,Cash,Art it animal box cell.,2536,241.01
2024-10-27,Entertainment,Cash,Exactly call side wife.,2222,122.36
2024-10-30,Bills,Online,Some population various create it.,1536,26.49
2024-10-25,Entertainment,Online,Very glass front.,2239,116.2
2024-10-11,Subscriptions,Online,Keep cold blue third.,527,0.0
2024-10-28,Shopping,Cash,Structure picture.,394,31.6
2024-10-10,Miscellaneous,Online,More try occur.,736,0.0
2024-10-14,Bills,Online,Point once song training.,1041,41.32
2024-10-19,Healthcare,Online,Agree language tree bill.,3101,0.0
2024-10-13,Subscriptions,Cash,Draw stock mouth.,319,0.0
2024-10-19,Shopping,Online,Call partner least gas.,1639,104.06
2024-10-07,Transportation,Online,Theory power.,1405,0.0
2024-10-22,Miscellaneous,Cash,Him character.,2890,0.0
2024-10-30,Healthcare,Cash,Among do of church.,4694,0.0
2024-10-05,Gifts,Cash,Reason single prevent value right.,3072,0.0
2024-10-28,Transportation,Online,Party cover.,1471,0.0
2024-10-06,Miscellaneous,Cash,Seek nice south.,2206,0.0
2024-10-19,Transportation,Online,Study adult also.,1197,0.0
2024-10-19,Gifts,Online,Few film positive.,3039,0.0
2024-10-09,Travel,Cash,Detail half style.,13388,945.96
2024-10-06,Entertainment,Cash,Herself artist everybody.,2211,211.58
2024-10-06,Subscriptions,Online,Place set cold young.,289,0.0
2024-10-13,Education,Online,Analysis federal simply deal tree.,5110,0.0
2024-10-06,Entertainment,Online,Save how than.,2372,72.21
2024-10-15,Travel,Cash,Billion practice technology along.,11294,910.63
2024-10-12,Entertainment,Online,Who possible speak.,220,9.39
2024-10-01,Shopping,Cash,Her positive effort.,1289,98.29
