Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-11-26,Transportation,Online,Sometimes tough together.,666,0.0
2024-11-08,Gifts,Online,Adult certain.,500,0.0
2024-11-25,Groceries,Online,Community true.,413,16.73
2024-11-24,Bills,Cash,Relate kind present.,4566,86.29
2024-11-24,Gifts,Online,Debate meet whole.,891,0.0
2024-11-12,Entertainment,Online,Direction operation class.,1994,101.54
2024-11-02,Shopping,Cash,Work again they my.,806,50.35
2024-11-16,Gifts,Online,Actually address.,4131,0.0
2024-11-28,Miscellaneous,Cash,Clearly buy until.,2926,0.0
2024-11-10,Food,Cash,Should present.,470,36.63
2024-11-09,Gifts,Online,Still every.,749,0.0
2024-11-08,Bills,Online,Speak evening two.,3290,192.35
2024-11-09,Entertainment,Online,Dark own together argue.,1864,118.47
2024-11-27,Shopping,Cash,Up meeting.,3089,127.56
2024-11-19,Education,Online,Appear left.,7230,0.0
2024-11-11,Food,Online,Return hair produce.,252,18.53
2024-11-11,Entertainment,Cash,Everybody indeed power economy sign.,2323,105.09
2024-11-27,Shopping,Cash,Business trial deal.,1249,63.82
2024-11-10,Transportation,Online,Government exist ahead when ahead.,489,0.0
2024-11-07,Bills,Cash,Indicate sister hotel eye.,900,27.96
2024-11-22,Groceries,Online,Sport order have.,786,38.36
2024-11-16,Food,Cash,Above during perform however.,468,44.63
2024-11-20,Food,Cash,Word idea fire.,315,10.52
2024-11-22,Entertainment,Online,Financial project avoid size.,369,31.81
2024-11-03,Food,Online,Where home star term begin.,598,38.08
2024-11-25,Subscriptions,Cash,Country evidence government.,608,0.0
2024-11-01,Shopping,Cash,Bad note score.,3374,73.89
2024-11-15,Healthcare,Cash,Only many there.,557,0.0
2024-11-18,Groceries,Online,Artist take throw baby professional.,605,52.51
2024-11-28,Bills,Online,Tell push along.,2811,263.17
2024-11-25,Entertainment,Online,Doctor what cost get apply.,1423,94.09
2024-11-04,Education,Cash,Explain bring nation.,9737,0.0
2024-11-12,Education,Online,Training expert worry upon tonight.,9668,0.0
2024-11-03,Shopping,Cash,Politics gun partner see.,1560,39.83
2024-11-04,Bills,Cash,International resource cup where.,4399,196.78
2024-11-12,Miscellaneous,Cash,Focus agree we consider.,2312,0.0
2024-11-29,Gifts,Online,While factor drug.,4445,0.0
2024-11-24,Entertainment,Cash,West help already.,1056,54.16
2024-11-25,Transportation,Online,Property court.,629,0.0
2024-11-24,Travel,Online,In number involve.,11124,720.56
2024-11-22,Subscriptions,Cash,Player society first five effort.,913,0.0
2024-11-19,Travel,Online,Specific left leave hope.,6727,377.85
2024-11-16,Education,Online,Concern whose miss door.,1166,0.0
2024-11-04,Shopping,Cash,Away term development woman.,2680,112.78
2024-11-14,Subscriptions,Cash,War water hundred central.,961,0.0
2024-11-15,Groceries,Cash,Look everyone require build federal.,1890,27.09
2024-11-07,Food,Cash,Not eat as open.,329,17.39
2024-11-28,Food,Online,Region consider drive.,548,52.93
2024-11-27,Subscriptions,Online,Market base blood.,642,0.0
2024-11-06,Healthcare,Cash,Million tend possible increase charge.,1272,0.0
2024-11-18,Groceries,Online,Fill successful.,1471,113.69
2024-11-03,Transportation,Cash,Return ever.,1415,0.0
2024-11-04,Groceries,Cash,Someone also letter author human.,1949,111.68
2024-11-26,Entertainment,Online,Service try structure but.,2069,108.18
2024-11-24,Travel,Cash,Actually war in single.,8066,369.97
2024-11-09,Healthcare,Online,Control city.,391,0.0
2024-11-28,Food,Online,Accept moment meeting.,396,15.0
2024-11-15,Entertainment,Cash,Act few.,2493,154.55
2024-11-17,Bills,Online,Inside grow effect but spend.,1937,186.76
2024-11-17,Food,Online,Seven explain simple set light.,103,5.44
2024-11-07,Food,Cash,Great piece large idea.,507,13.88
2024-11-07,Food,Cash,Green mind real ask question.,419,33.39
2024-11-19,Transportation,Online,Per event.,567,0.0
2024-11-23,Transportation,Cash,Need successful skin article.,879,0.0
2024-11-04,Education,Cash,You opportunity anything mother left.,7471,0.0
2024-11-23,Travel,Cash,Staff research floor paper experience.,2893,267.34
2024-11-22,Education,Online,Actually adult next.,1302,0.0
2024-11-18,Food,Online,Part once lose.,173,5.05
2024-11-26,Miscellaneous,Cash,Company information sell.,1276,0.0
2024-11-09,Bills,Cash,Simply keep truth matter.,4954,133.28
2024-11-12,Healthcare,Online,According bar goal record.,2299,0.0
2024-11-25,Shopping,Online,Point realize news.,416,36.19
2024-11-15,Groceries,Cash,Represent effect perhaps support not.,326,11.8
2024-11-09,Education,Cash,Power if town.,9016,0.0
2024-11-08,Transportation,Online,Media purpose compare plant live.,1104,0.0
2024-11-14,Healthcare,Online,Across second pressure.,4438,0.0
2024-11-08,Travel,Online,Include major this culture.,8350,266.11
2024-11-21,Shopping,Online,Quite send peace.,1861,163.78
2024-11-20,Food,Cash,Need article page southern.,162,1.65
2024-11-06,Food,Cash,Full less choice present break.,496,12.8
2024-11-17,Miscellaneous,Cash,Also help.,898,0.0
2024-11-07,Education,Cash,Item every about.,3305,0.0
2024-11-18,Healthcare,Online,Not already property film.,3569,0.0
2024-11-23,Entertainment,Cash,Manage who.,1556,65.26
2024-11-04,Groceries,Online,Trade step.,329,5.5
2024-11-05,Healthcare,Cash,Somebody week purpose involve possible.,3328,0.0
2024-11-26,Gifts,Online,Sport watch.,508,0.0
2024-11-09,Travel,Online,Decision that history.,12892,288.22
2024-11-07,Miscellaneous,Cash,Fill throw send officer.,1161,0.0
2024-11-24,Food,Cash,Save agency north.,588,48.65
2024-11-20,Education,Online,Trouble sometimes capital herself.,7125,0.0
2024-11-28,Food,Online,Discuss international them on particular.,227,7.8
2024-11-07,Gifts,Cash,Usually morning help situation.,2786,0.0
2024-11-29,Healthcare,Online,Key cause class.,2257,0.0
2024-11-24,Shopping,Cash,Simply onto control.,2942,166.25
2024-11-08,Bills,Online,Speak language leave office another.,2370,210.34
2024-11-18,Transportation,Cash,Ok why business.,364,0.0
2024-11-20,Subscriptions,Cash,Turn road admit really.,211,0.0
2024-11-14,Education,Cash,House some bad.,8693,0.0
2024-11-01,Groceries,Cash,Light institution choose sign.,311,25.8
2024-11-20,Transportation,Cash,Available want agent build.,1028,0.0
2024-11-03,Transportation,Cash,Suddenly none treatment.,1257,0.0
2024-11-07,Shopping,Online,Not those training.,888,25.48
2024-11-22,Groceries,Cash,See brother month.,1424,86.86
2024-11-20,Groceries,Online,Main system should whose only.,1704,126.96
2024-11-16,Shopping,Online,Single along hard.,2416,99.69
2024-11-18,Miscellaneous,Online,Group already.,300,0.0
2024-11-06,Entertainment,Online,Pattern sometimes rich.,797,23.0
2024-11-09,Healthcare,Cash,Mouth animal give practice.,2249,0.0
